The Warrior Who Carried Life,Geoff Ryman
Blast-Off Into Space,William Henry Fleming Bird
The Lost City,David Arthur Griffiths
The Missing Safari,David Arthur Griffiths
Tribal War,David Arthur Griffiths
White Fangs,David Arthur Griffiths
King Hunters,David Arthur Griffiths
Jungle Fever,David Arthur Griffiths
Vega,David Arthur Griffiths
Fission,David Arthur Griffiths
Gyrator Control,David Arthur Griffiths
Astro-Race,David Arthur Griffiths
Task Flight,David Arthur Griffiths
Rocket Invasion,David Arthur Griffiths
Projectile War,David Arthur Griffiths
"Laboratory ""X""",David Arthur Griffiths
Planet Federation,David Arthur Griffiths
Space Men,David Arthur Griffiths
The Unsleep,Diana Gillon
The Catafalque,Robert C Goldston
The Eighth Day,Robert C Goldston
Act Of Providence,Joseph Payne Brennan
Evil Always Ends,Joseph Payne Brennan
The Prince Commands,Andre Norton
Treasure Of Tau Ceti,John T Phillifent
Book Of Shadows,James Killus
Stolen From Gypsies,Noble Smith
The Sooterkin,Tom Gilling
Ordinary Horror,David Searcy
The Hell Screens,Alvin LU
More Bitter Than Death,Kate Wilhelm
The Nevermore Affair,Kate Wilhelm
Let The Fire Fall,Kate Wilhelm
Year Of The Cloud,Ted Thomas
City Of Cain,Kate Wilhelm
Fault Lines,Kate Wilhelm
The Best Defense,Kate Wilhelm
Malice Prepense,Kate Wilhelm
The Deepest Water,Kate Wilhelm
Desperate Measures,Kate Wilhelm
Dragon's Heart,Kate Elliott
The Hard Way Up,A Bertram Chandler
The Veiled World,Robert Lory
Earthstrings,John T Phillifent
Against Arcturus,Susan K Putney
Recoil,Claude Nunes
Clockwork's Pirates,Ron Goulart
Beyond Capella,John T Phillifent
No Time For Heroes,Sam J Lundwall
Alice's World,Sam J Lundwall
The Noblest Experiment In The Galaxy,Louis Trimble
The Mad Goblin,Philip Jose Farmer
Mask Of Chaos,John Jakes
Masters Of The Lamp,Robert Lory
Gallagher's Glacier,Leigh Richmond
To Venus! To Venus!,Donald A Wollheim
The Anything Tree,John T Phillifent
Phoenix Ship,Leigh Richmond
Earthrim,Nick Kamin
Knave In Hand,Laurence M Janifer
Kar Kaballa,George H Smith
The Bane Of Kanthos,Alex Dain
Tonight We Steal The Stars,John Jakes
The Eyes Of Bolsk,Robert Lory
The Midnight Dancers,Gerard F Conway
Humanity Prime,Bruce Mcallister
From The Legend Of Biel,Mary Staton
Red Tide,DD Chapman
Niezwyciężony?Niezwyciezony,Stanisław Lem?Stanislaw Lem
Growing Up In Tier 3000,Felix C Gotschalk
Challenge The Hellmaker,Leigh Richmond
Lady Of The Bees,Thomas Burnett Swann
The Tournament Of Thorns,Thomas Burnett Swann
The Sky Is Falling,Lester Del Rey
Badge Of Infamy,Lester Del Rey
A Yank At Valhalla,Edmond Hamilton
Mister Justice,Doris Piserchia
Hierarchies,John T Phillifent
The Ballad Of Beta-2,Samuel R Delany
The Dark Moon,Julia Gray
The Furies,Keith Roberts
Anita,Keith Roberts
The Boat Of Fate,Keith Roberts
The Battle Of Forever,AE Van Vogt
The Day The Earth Caught Fire,Barry Wells
Telepath,Arthur Sellings
The Uncensored Man,Arthur Sellings
The Quy Effect,Arthur Sellings
Intermind,Arthur Sellings
The Power Of X,Arthur Sellings
Junk Day,Arthur Sellings
Prophet Of Doom,James Mullaney
Brain Storm,Warren Murphy
The Empire Dreams,James Mullaney
Failing Marks,James Mullaney
Misfortune Teller,James Mullaney
The Final Reel,James Mullaney
Deadly Genes,James Mullaney
Killer Watts,James Mullaney
Fade To Black,James Mullaney
The Last Monarch,James Mullaney
A Pound Of Prevention,James Mullaney
Syndication Rites,James Mullaney
Disloyal Opposition,James Mullaney
By Eminent Domain,James Mullaney
The Wrong Stuff,James Mullaney
Air Raid,James Mullaney
Market Force,James Mullaney
The End Of The Beginning,James Mullaney
Father To Son,James Mullaney
"Waste Not, Want Not",James Mullaney
Deathday,William C Dietz
Ill Met By Moonlight,Sarah A Hoyt
The Legend Of Luke,Brian Jacques
The Law Of War,William Shatner
They Also Serve,Mike Moscoe
Star By Star,Troy Denning
The Fall Of Reach,Eric Nylund
Martian Knightlife,James P Hogan
Angel Of Destruction,Susan R Matthews
The World Tree,Sarah Isidore
Marching Through Peachtree,Harry Turtledove
The Getaway Special,Jerry Oltion
Evening's Empire,David Herter
The Dragon Society,Lawrence Watt-Evans
One Door Away From Heaven,Dean Koontz
Technogenesis,Syne Mitchell
The Peshawar Lancers,SM Stirling
The Years Of Rice And Salt,Kim Stanley Robinson
Kiln People,David Brin
Green Boy,Susan Cooper
Solitaire,Kelley Eskridge
The Skull Of The World,Kate Forsyth
Jenna Starborn,Sharon Shinn
Domain,Steve Alten
Chapel Noir,Carole Nelson Douglas
The Destruction Of The Inn,Randy Lee Eickhoff
American Woman,R Garcia Y Robertson
Running On Instinct,Nicole Luiken
Violet Eyes,Nicole Luiken
@Expectations,Kit Reed
Over The Wine-Dark Sea,Harry Turtledove
The Scottish Ploy,Quinn Fawcett
St. Patrick's Bed,Terence M Green
Last Day,Richard Sears
Voices Of Thunder,Chris Roberson
Phoenix Fire,Tim O'Laughlin
Albert,Donna JO Napoli
A Shortage Of Engineers,Robert Grossbach
Honour Guard,Dan Abnett
The Gray's Anatomy,Rachel Armstrong
Psi-Ence Fiction,Chris Boucher
"The Rise And Fall Of Khan Noonien Singh, Volume One",Greg Cox
All Families Are Psychotic,Douglas Coupland
Bored Of The Rings,Henry N Beard
Trollslayer,William King
Skavenslayer,William King
Daemonslayer,William King
Dragonslayer,William King
Beastslayer,William King
Vampireslayer,William King
The Astonished Eye,Tracy Knight
The Wild Boy,Warren Rochelle
Professor Bernice Summerfield And The Infernal Nexus,Dave Stone
Alien Taste,Wen Spencer
Thor's Fist,Frank O Dodge
To Leuchars,Rick Wilber
The Age Of Longing,Arthur Koestler
Batman,Greg Rucka
Changeling,Sharon Lee
Living Dead In Dallas,Charlaine Harris
Blood Of Mystery,Mark Anthony
A Sorcerer's Treason,Sarah Zettel
The Lady Of The Sorrows,Cecilia Dart-Thornton
Chindi,Jack Mcdevitt
Restoration,Carol Berg
The Sky So Big And Black,John Barnes
Sisters Of The Raven,Barbara Hambly
Never After,Rebecca Lickiss
The Disappeared,Kristine Kathryn Rusch
Shadow Puppets,Orson Scott Card
The Dark Lord,Thomas Harlan
Prince Of Fire And Ashes,Katya Reimann
The Martian Child,David Gerrold
Bones Of The Earth,Michael Swanwick
Freedom's Ransom,Anne Mccaffrey
Stormrider,David Gemmell
The Shelters Of Stone,Jean M Auel
Mindworlds,Phyllis Gotlieb
Conrad's Time Machine,Leo Frankowski
Triss,Brian Jacques
Channeling Cleopatra,Elizabeth Ann Scarborough
The Gates Of Sleep,Mercedes Lackey
Cold Fire,Tamora Pierce
The Isle Of Battle,Sean Russell
The Alchemist's Door,Lisa Goldstein
I Dare,Sharon Lee
The Watch,Dennis Danvers
The Longest Way Home,Robert Silverberg
A Scattering Of Jades,Alexander C Irvine
The Amazing Dr. Darwin,Charles Sheffield
Wolf Queen,Tanith Lee
Spaceland,Rudy Rucker
Hominids,Robert J Sawyer
The Better Part Of Valor,Tanya Huff
Seven Wild Sisters,Charles DE Lint
Hannibal's Children,John Maddox Roberts
Diplomatic Immunity,Lois Mcmaster Bujold
A Caress Of Twilight,Laurell K Hamilton
Empire Of Bones,Liz Williams
Slain In The Spirit,Melanie Tem
The Rock Rats,Ben Bova
Shadowsinger,LE Modesitt
Ombria In Shadow,Patricia A Mckillip
Dark Light,Ken Macleod
Sorcery Rising,Jude Fisher
To Trade The Stars,Julie E Czerneda
Rulers Of The Darkness,Harry Turtledove
Beast Master's Ark,Lyn Mcconchie
Time Past,Maxine Mcarthur
Nightwatch,Andrew M Stephenson
The Wall Of Years,Andrew M Stephenson
The Fog,Dennis Etchison
Spectre Of The Black Rose,James Lowder
The Dragon (Book 2 Of The Serpent),Jane Gaskell
Finish Line,Stephen Goldin
Scavenger Hunt,Stephen Goldin
Herds,Stephen Goldin
Dark Of The Eye,Douglas Clegg
Falling Angel,William Hjortsberg
Second Contact,Harry Turtledove
Aftershocks,Harry Turtledove
Professor Challenger In Space,SW Theaker
"Quiet, The Tin Can Brains Are Hunting!",Stephen William Theaker
Elsewhere,Steven Gilligan
Alpha.One,Steven Gilligan
Weird Scenes Inside The Godmind,Douglas A Mackey
The Second Son,Charles Sailor
The Point Man,Stephen Englehart
Timeshift,Phillip Ellis Jackson
Between Two Worlds,Phillip Ellis Jackson
Vision,ND Hansen-Hill
Castle In The Swamp,Edison Marshall
Spawn,Donald F Glut
A Step Beyond,CK Anderson
Rocket From Infinity,Lester Del Rey
Rat2Rap,Derek Smith
Mirror In The Sky,David Garnett
The Starseekers,David Garnett
Time In Eclipse,David S Garnett
The Forgotten Dimension,David Garnett
Phantom Universe,David S Garnett
Mainframe - Beginnings,Simba Wiltz
The Sweetman Curve,Graham Masterton
The Excalibur Alternative,David Weber
Queen Of Camelot,Nancy Mckenzie
Onslaught,David Sherman
The Approaching Storm,Alan Dean Foster
Malachi's Moon,Billie Sue Mosiman
The Eyes Of God,John Marco
The Genesis Wave,John Vornholt
In The Name Of Honor,Dayton Ward
Captain Nemo,KJ Anderson
Masquerade,Austen Andrews
The Book Of Fours,Nancy Holder
Summerblood,Tom Deitz
Second Contact,Joshua Dann
Ship Of The Damned,James F David
Bone Walker,Kathleen O'Neal Gear
Six-Gun Planet,John Jakes
Gypsy Earth,George W Harper
Tekrock,Roland C Wagner
Tøøns,Roland C Wagner
Poupée Aux Yeux Morts,Roland C Wagner
Le Chant Du Cosmos,Roland C Wagner
Reflections In A Mirage,Leonard Daventry
The Ticking Is In Your Head,Leonard Daventry
Twenty One Billionth Paradox,Leonard Daventry
Fortress,Rob Gerrand
The Thoughtmaster's Conduit,Kerry Orchard
The Dark Unicorn,Edward Willett
Andy Nebula,Edward Willett
The House,Bentley Little
Terminus Cauchemar,Denis Côté
Destiny Of The Light,Louise Cusack
Daughter Of The Dark,Louise Cusack
The Grail War,Richard Monaco
Earth Dreams,Janet Morris
Legion Of The Dead,Hugh B Cave
Kane's Odyssey,Jeff Clinton
"Come, Follow Me",Philip Michaels
Grail,Philip Michaels
Gates Of The Universe,Robert Coulson
The Bride,Vonda N Mcintyre
The Sea Is Boiling Hot,George Bamber
American Fuji,Sara Backer
Godsfire,Cynthia Felice
Kavin's World,David Mason
A Hymn Before Battle,John Ringo
Gust Front,John Ringo
False Dawn,Chelsea Quinn Yarbro
The Time Shifters,Sam Merwin
The Road To Kotaishi,Kevin Radthorne
Wake Of The Wraith,Michael Rittel
The Black King,Kristine Kathryn Rusch
A Place To Hide,Robert Westall
Survival World,Frank Belknap Long
All The Gods Of Eisernon,Simon Lang
Tetrasomy Two,Oscar Rossiter
Earthwreck!,Thomas N Scortia
Artery Of Fire,Thomas N Scortia
The Goat Without Horns,Thomas Burnett Swann
Will-O-The-Wisp,Thomas Burnett Swann
Wolfwinter,Thomas Burnett Swann
A Caller From Overspace,John Lymington
Last Call For The Stars,Charles Nuetzel
Oron,David C Smith
Wake In Fright,Kenneth Cook
Jeremy Case,Gene Deweese
Shadow Of Earth,Phyllis Eisenstein
Joshua,Nancy Freedman
Motherless Brooklyn,Jonathan Lethem
This Shape We'Re In,Jonathan Lethem
Walls Within Walls,Arthur Tofte
The Heretic,Jason K Chapman
The Mixed Men,AE Van Vogt
Flight From Eden,Kathryn A Graham
Dominant Species,George Warren
Apostle,Roger Lovin
What Happened To Emily Goode After The Great Exhibition,Raylyn Moore
Ultimate World,Hugo Gernsback
Kingdoms Of Elfin,Sylvia Townsend Warner
Distant Ties,Tom A Wright
Affinity,JN Williamson
Shadowkings,Michael Cobley
In Times Of War,DW Mitchell
The Armageddon Box,Robert Weinberg
Firegold,Dia Calhoun
Strange Conflict,Dennis Wheatley
They Used Dark Forces,Dennis Wheatley
By Furies Possessed,Ted White
From The Dust Returned,Ray Bradbury
The Waltz Of Death,PB Maxon
Time Trap,Rog Phillips
Lazarus #7,Richard Sale
The Last Secret,Dana Chambers
The Murder Of The U.S.A.,Will F Jenkins
The Deathless Amazon,John Russell Fearn
Doomsday,Warwick Scott
Fully Dressed And In His Right Mind,Michael Fessier
The Sky Block,Steve Frazee
Escape To Nowhere,David Karp
The Night Before Dying,Robert M Coates
World Of If,Rog Phillips
Seed Of Stars,John Kippax
The Neutral Stars,John Kippax
Where No Stars Guide,John Kippax
"The ""Lomokome"" Papers",Herman Wouk
Written In Venom,Lois Tilton
Sightlines,Stan Kolodziej
Ilse Witch,Terry Brooks
Antrax,Terry Brooks
Prophecy,Elizabeth Haydon
Shadows Bend,David Barbour
The Life Of Sir Aglovale De Galis,Clemence Housman
The Beasts Of Barakhai,Mickey Zucker Reichert
The Shiva Option,David Weber
Pandora's Legions,Christopher Anvil
Diuturnity's Dawn,Alan Dean Foster
Demons,John Shirley
Warlock,Andre Norton
Metal Of Night,Mark W Tiedemann
Serenity Falls,James A Moore
The Sword And The Dragon,Diane Duane
Storms Of Fate,Loren L Coleman
Angry Lead Skies,Glen Cook
Rituals,ED Gorman
The Hidden Dragon,Irene Radford
Belarus,Lee Hogan
A Wizard In A Feud,Christopher Stasheff
The Sword Of Skelos,Andrew Offutt
A Parliament Of Owls,Beth Hilgartner
The Spirit Of Thunder,Kurt RA Giambastiani
Imminent Crisis,Randall N Bills
The Dragon Delasangre,Alan F Troop
The Magic Grandfather,Jay Williams
The Business,Iain M Banks
Storm Of Wings,Chris Bunch
The Iron Grail,Robert Holdstock
The Scream,Joan Aiken
Wanderers And Islanders,Steve Cockayne
Altered Carbon,Richard Morgan
Doomsday,John Whitbourn
Payback,Melinda Metz
Badgers,Brian Jacques
"The Journals Of Rupert Giles, Vol. 1",Nancy Holder
Haunted,Jeff Mariotte
The Threat Within,Jude Watson
The Golden Orb,Douglas Niles
Hidden Empire,Kevin J Anderson
Witch's Honour,Jan Siegel
Lost In A Good Book,Jasper Fforde
Stone,Adam Roberts
Stars And Stripes Triumphant,Harry Harrison
Little People,Tom Holt
The Red Glacier,Julia Gray
British Summertime,Paul Cornell
Trial Of Fire,Kate Jacoby
The Skinner,Neal Asher
Wizard's Funeral,Kim Hunter
Casual Rex,Eric Garcia
Suspicions,Elizabeth Engstrom
Inquisition,Anselm Audley
The Crippled Angel,Sara Douglass
Firesong,William Nicholson
Thraxas And The Dance Of Death,Martin Millar
Pattern,KJ Parker
Castles Made Of Sand,Gwyneth Jones
Redemption Ark,Alastair Reynolds
Perceptualistics,John Grant
Lord Soho,Richard Calder
Talon Of The Silver Hawk,Raymond E Feist
Wolf Wing,Tanith Lee
Monument,Ian Graham
Morgawr,Terry Brooks
Rules Of Ascension,David B Coe
Class G-Zero,Walter B Hendrickson
The Year Of Intelligent Tigers,Kate Orman
Callahan's Key,Spider Robinson
Bullets And Lasers,Atk Butterfly
Crystal Treasure,Atk Butterfly
Attack Butterfly,Atk Butterfly
Dust Bunny,Atk Butterfly
Space Rescue One,Atk Butterfly
Witness Protection,Atk Butterfly
Masters Of Space,Edward E Smith
The Ophidian Conspiracy,John F Carr
Phantom Victory,Pamela F Service
The Haven,Graham Diamond
Lady Of The Haven,Graham Diamond
Samarkand,Graham Diamond
Captain Sinbad,Graham Diamond
The War Of The Roses,Karen Joy Fowler
Cold War In A Country Garden,Lindsay Gutteridge
Killer Pine,Lindsay Gutteridge
Fratricide Is A Gas,Lindsay Gutteridge
The Mindwarpers,Eric Frank Russell
The Worthing Chronicle,Orson Scott Card
Space Relations,Donald Barr
Venus Development,David Bergamini
To Sleep With Evil,Andria Cardarelle
Slave Planet,Laurence M Janifer
The Wonder War,Laurence M Janifer
A Piece Of Martin Cann,Laurence M Janifer
You Sane Men,Laurence M Janifer
Power,Laurence M Janifer
A Hostage For Hinterland,Arsen Darnay
Vector Prime,RA Salvatore
Hero's Trial,James Luceno
Jedi Eclipse,James Luceno
The Siege Of Faltara,Arsen Darnay
Karma,Arsen Darnay
The Purgatory Zone,Arsen Darnay
When Time Stood Still,Ben Orkow
Magician's Law,Michael Scott
Morreion,Jack Vance
The Fort At River's Bend,Jack Whyte
Metamorphosis,Jack Whyte
Darksword Adventures,Tracy Hickman
The Minikins Of Yam,Thomas Burnett Swann
The Wrath Of Fu Manchu And Other Stories,Sax Rohmer
Seg The Bowman,Alan Burt Akers
The Napoleons Of Eridanus,Pierre Barbet
Earth Factor X,AE Van Vogt
The Second War Of The Worlds,George H Smith
The Final Circle Of Paradise,Arkadi Strugatski
The Gods Abide,Thomas Burnett Swann
The Panchronicon Plot,Ron Goulart
Warlord Of Ghandor,Del Dowdell
Monday Begins On Saturday,Arkadi Strugatski
"A Messiah At The End Of Time, Or, The Transformation Of Miss Mavis Ming",Michael Moorcock
The Gods Of Xuma Or Barsoom Revisited,David J Lake
Calling Dr. Patchwork,Ron Goulart
The Joan-Of-Arc Replay,Pierre Barbet
The Panorama Egg,AE Silas
The Wicked Cyborg,Ron Goulart
War-Gamers' World,Hugh Walker
Army Of Darkness,Hugh Walker
"Hello, Lemuria, Hello",Ron Goulart
A Life For Kregen,Alan Burt Akers
Saga Of Lost Earths And The Star Mill,Emil Petaja
A Sword For Kregen,Alan Burt Akers
A Fortune For Kregen,Alan Burt Akers
A Victory For Kregen,Alan Burt Akers
Beasts Of Antares,Dray Prescot
Nopalgarth,Jack Vance
Rebel Of Antares,Dray Prescot
Cosmic Crusaders,Pierre Barbet
"Circle, Crescent, Star",Ansen Dibell
Blood County,Doris Piserchia
Banners Of The Sa' Yen,BR Stateham
Legions Of Antares,Alan Burt Akers
Mazes Of Scorpio,Alan Burt Akers
Summerfair,Ansen Dibell
Delia Of Vallia,Alan Burt Akers
Fires Of Scorpio,Alan Burt Akers
Warlords Of Xuma,David Lake
The Mirror Of Helen,Richard Purtill
An Xt Called Stanley,Robert Trebor
The Four Wishes,Charlotte Stone
Talons Of Scorpio,Alan Burt Akers
"Tamastara, Or The Indian Nights",Tanith Lee
Owl Time,MA Foster
"Dark Castle, White Horse",Tanith Lee
The Other Side Of The Mirror,Marion Zimmer Bradley
The Dreaming Tree,CJ Cherryh
The Faded Sun Trilogy,CJ Cherryh
Imaginative Sex,John Norman
The Challenge Box,Isobel Bird
Dancing With An Alien,Mary Logue
Forward The Mage,Eric Flint
The Tomb Of Horrors,Keith Francis Strohm
The Jewel Of Turmish,Mel Odom
The Veil Of A Thousand Tears,Eric Van Lustbader
The Translator,John Crowley
A Dragon's Ascension,ED Greenwood
The Ice Limit,Lincoln Child
Magic Time,Barbara Hambly
Dragon Bones,Patricia Briggs
Stark's Crusade,John G Hemry
Picoverse,Robert A Metzger
Rebel Dream,Aaron Allston
Spider-Man,Peter David
The Scorpion King,Max Allan Collins
Myth Adventures,Robert Lynn Asprin
Amazonia,James Rollins
Outlaw Sword,J Ardian Lee
The Fires Of Merlin,TA Barron
The Curse Of Arkady,Emily Drake
Murder In Lamut,Raymond E Feist
The Fourth Empire,Mack Maloney
First Truth,Dawn Cook
"Gen 13, Version 2.0",Sholly Fisch
The Ages Of Chaos,Marion Zimmer Bradley
Guardian Of The Vision,Irene Radford
In These Final Days Of Sales,Steve Rasnic Tem
Kaleidoscope,Dorothy Gilman
Maximum Ice,Kay Kenyon
Tantalus,Jan Siegel
Bacchanal,Jan Siegel
The Viper's Heart,Jan Siegel
Soulfire,Jan Siegel
Tarzan The Untamed,Edgar Rice Burroughs
The Mucker,Edgar Rice Burroughs
A Shadow On The Wall,Jonathan Aycliffe
Adams Fall,Sean Desmond
Damned If You Do,Gordon Houghton
The Memory Of Fire,George Foy
Fire Bringer,David Clement-Davies
The Wind Singer,William Nicholson
Beast,Donna JO Napoli
Rogue Flyer,Loren L Coleman
Prince Of Hearts,Katy Cooper
Fox On The Rhine,Michael Dobson
The Napoleon Options,Jonathan North
Naked Presidents,James Silver
Custer's Luck,William E Moody
Downs-Lord Day,John Whitbourn
The Sky Warden And The Sun,Sean Williams
The Fifth Sorceress,Robert Newcomb
A Bed Of Earth,Tanith Lee
Guardian,Joe Haldeman
The Maquisarde,Louise Marley
The Omega Expedition,Brian Stableford
The Center Cannot Hold,Harry Turtledove
Dark Is The Moon,Ian Irvine
The Glasswrights' Journeyman,Mindy L Klasky
Charisma,Steven Barnes
Super-State,Brian Aldiss
Devlin's Luck,Patricia Bray
Memory Of Fire,Holly Lisle
Fallen Host,Lyda Morehouse
A Fistful Of Sky,Nina Kiriki Hoffman
Coyote,Allen Steele
The Fall Of The Kings,Ellen Kushner
Explorer,CJ Cherryh
Night Watch,Terry Pratchett
The Fathomless Caves,Kate Forsyth
The Devil And Deep Space,Susan R Matthews
Tapping The Dream Tree,Charles DE Lint
The Paths Of The Dead,"Steven Brust, Pjf"
The Prize In The Game,JO Walton
All Night Awake,Sarah A Hoyt
Paragon Lost,Dave Duncan
Trapped,James Alan Gardner
White Apples,Jonathan Carroll
Voyage Of The Shadowmoon,Sean Mcmullen
Glass Dragons,Sean Mcmullen
Night Blooming,Chelsea Quinn Yarbro
The Hour Before Dark,Douglas Clegg
The Butlerian Jihad,Kevin J Anderson
Scared Stiff,Ramsey Campbell
Just Like Beauty,Lisa Lerner
The Many Worlds Of Andre Norton,Andre Norton
Brain Twister,Mark Phillips
Time Is The Simplest Thing,Clifford D Simak
All The Traps Of Earth And Other Stories,Clifford D Simak
The Speed Of Dark,Elizabeth Moon
Deep Strike,Rick Shelley
Circle At The Center,Douglas Niles
Changespell Legacy,Doranna Durgin
The Sacred Pool,L Warren Douglas
The Ocean Of Years,Roger Macbride Allen
The King,David Feintuch
The Summer Country,James A Hetley
Earthrise,William C Dietz
Red Thunder,John Varley
Shadow Black,Tom Arden
Taylor Five,Gwyneth Jones
Air,Geoff Ryman
The Eye Of Eternity,Maggie Furey
Alyssa's Ring,Julia Gray
House Of Chains,Steven Erikson
Echoes Of The Great Song,David Gemmell
Fitcher's Brides,Gregory Frost
The Reliquary Ring,Cherith Baldry
Limbo,Andy Secombe
The Iron Chain,Steve Cockayne
Prince Of Ayodhya,Ashok K Banker
Evolution,Stephen Baxter
The Gathering Storm,Kate Elliott
Children Of The Shaman,Jessica Rydill
The Changeling Plague,Syne Mitchell
The Moon's Shadow,Catherine Asaro
The Return Of Santiago,Mike Resnick
The Skrayling Tree,Michael Moorcock
Orphans Of Earth,Shane Dix
The Briar King,Greg Keyes
By The Light Of The Moon,Dean Koontz
The Poison Master,Liz Williams
Engine City,Ken Macleod
The Separation,Christopher Priest
Myth-Ion Improbable,Robert Lynn Asprin
Cold Steel,Bill Fawcett
Paying The Piper,David Drake
Lord Darcy,Randall Garrett
The Veil Of Years,L Warren Douglas
Traitor,Matthew Stover
Last Days,John R King
The Fall Of Neskaya,Marion Zimmer Bradley
The Line Of Polity,Neal Asher
Broken Angels,Richard Morgan
Angelica,Sharon Shinn
The Wellstone,Wil Mccarthy
The Usurper's Crown,Sarah Zettel
Dummyland,Steve Aylett
Falling Out Of Cars,Jeff Noon
Resurgence,Charles Sheffield
City Of The Beasts,Isabel Allende
The Birds And The Bees,Sèphera Girón
Ruled Britannia,Harry Turtledove
The Devil In Green,Mark Chadbourn
Deathstalker Legacy,Simon R Green
Light,M John Harrison
The Praxis,Walter Jon Williams
The Glass Mountain,Jessica Rydill
A Wizard Alone,Diane Duane
Abarat,Clive Barker
Devil's Bargain,Judith Tarr
Shadows And Light,Anne Bishop
The House Of The Scorpion,Nancy Farmer
Tides Of Darkness,Judith Tarr
Cloven,Sally Spedding
The Assassin's Edge,Juliet E Mckenna
Probability Space,Nancy Kress
"Star Risk, Ltd.",Chris Bunch
Once Upon A Winter's Night,Dennis L Mckiernan
Alastor,Jack Vance
Argonaut,Stanley Schmidt
Hope's End,Stephen Chambers
The Dark Side Of Nowhere,Neal Shusterman
Becoming Death,John David
Warautumn,Tom Deitz
Ersatz Nation,Tim Kenyon
Elfsorrow,James Barclay
Heris Serrano,Elizabeth Moon
Med Ship,Murray Leinster
Star Soldiers,Andre Norton
Janus,Andre Norton
1633,Eric Flint
The Lost Dragons Of Barakhai,Mickey Zucker Reichert
"Wolf's Head, Wolf's Heart",Jane Lindskold
Elvenborn,Mercedes Lackey
Burning The Ice,Laura J Mixon
Platinum Pohl,Frederik Pohl
Hope's War,Stephen Chambers
The Mocking Program,Alan Dean Foster
Advance And Retreat,Harry Turtledove
The Houses Of The Kzinti,Dean Ing
Hour Of The Gremlins,Ben Bova
March To The Sea,John Ringo
Kaspar's Box,Jack L Chalker
Skylock,Paul Kozerski
Deceptions,Susan Sizemore
Cretaceous Sea,Will Hubbell
Tree Girl,TA Barron
War Of Honor,David Weber
The Tide Of Victory,David Drake
Bolo Strike,William H Keith
Destiny's Way,Walter Jon Williams
A Gift Of Dragons,Anne Mccaffrey
Before The Dawn,Max Allan Collins
The Forge Of Mars,Bruce Balfour
Tathea,Anne Perry
Dark Earth,Robert Weinberg
Miles Errant,Lois Mcmaster Bujold
The Prince,Jerry Pournelle
Impossible Places,Alan Dean Foster
Fallen Angel,Kim Wilkins
Reality Dust,Stephen Baxter
Aztec Blood,Gary Jennings
Drum Into Silence,JO Clayton
Ithanalin's Restoration,Lawrence Watt-Evans
The Sea Lark's Song,Diana Marcellas
Atlantis Endgame,Andre Norton
The Other Nineteenth Century,Avram Davidson
The Apocalypse Door,James D Macdonald
Crossroads Of Twilight,Robert Jordan
A Crown Disowned,Sasha Miller
Legacies,LE Modesitt
The American Zone,L Neil Smith
Underland,Mick Farren
Up In A Heaval,Piers Anthony
Manta's Gift,Timothy Zahn
A School For Sorcery,E Rose Sabin
The Giant Leap,Adrian Berry
The Magician's Ward,Patricia C Wrede
The Rover,Mel Odom
The Butterfly Tattoo,Barry Norman
No Good Deed,Lynn S Hightower
The Island Snatchers,George H Smith
Ubu Roi,Alfred Jarry
Alien Eyes,Lynn S Hightower
Jimmy Neutron Boy Genius,Marc Cerasini
Hellflower,George O Smith
Prisoner Of Fire,Edmund Cooper
Soulsaver,James A Stevens
Raven's Heart,Jennifer Dunne
Dark Salvation,Jennifer Dunne
Shadow Prince,Jennifer Dunne
Destiny Doll,Clifford D Simak
The Baseball Trick,Scott Corbett
The Big Joke Game,Scott Corbett
The Black Mask Trick,Scott Corbett
The Boy Who Walked On Air,Scott Corbett
Cop's Kid,Scott Corbett
Cutlass Island,Scott Corbett
The Disappearing Dog Trick,Scott Corbett
Dr. Merlin's Magic Shop,Scott Corbett
The Great Custard Pie Panic,Scott Corbett
The Hairy Horror Trick,Scott Corbett
The Hangman's Ghost Trick,Scott Corbett
The Hateful Plateful Trick,Scott Corbett
The Limerick Trick,Scott Corbett
Run For The Money,Scott Corbett
"Steady, Freddie!",Scott Corbett
Take A Number,Scott Corbett
The Turnabout Trick,Scott Corbett
Zuralia Dreaming,Alfred Tella
Lands Forsaken,Ronin Ashe
The Spacejacks,Robert Wells
"The Universal Baseball Association, Inc., J. Henry Waugh, Prop.",Robert Coover
The Woman In The Wall,Patrice Kindl
Conehead,Gardner F Fox
One Sword For Love,Gardner F Fox
Stand We At Last,Zoe Fairbairns
Daddy's Girls,Zoe Fairbairns
Here Today,Zoe Fairbairns
Closing,Zoe Fairbairns
Other Names,Zoe Fairbairns
The Sword Of The Land,Noel-Anne Brennan
Hidden Truth,Dawn Cook
The Queen's Gambit,Deborah Chester
Hyperthought,MM Buckner
The Book Of Athyra,Steven Brust
Cold Streets,PN Elrod
The Goddess Worldweaver,Douglas Niles
When The Devil Dances,John Ringo
The Guardians Of The Flame,Joel Rosenberg
Grimmer Than Hell,David Drake
Pyramid Scheme,Eric Flint
Warlord,David Drake
Conqueror,David Drake
Darkness And Dawn,Andre Norton
The Isle Beyond Time,L Warren Douglas
Here There Be Dragonnes,Mary Brown
Kingdom's Fury,Dan Cragg
Attack Of The Clones,RA Salvatore
Wit'Ch Star,James Clemens
